url;country;date;Zustand;Marke;Modell;Angebotsnummer;Erstzulassung;Außenfarbe;Lackierung;Farbe laut Hersteller;Karosserieform;Getriebeart;Antriebsart;Kraftstoff;haendler;privat;ort;price;ausstattung_liste
/angebote/fiat-tipo-5p-my20-1-6-mjt-120cv-dct-lounge-euro-6d-temp-diesel-grau-fef5e644-88ac-401d-92f9-25c57a52aebc?;Italien;2021-02-17 21:47:57.993832;Tageszulassung;Fiat;Tipo;4601756;2021;Grau;Metallic;Grigio;Sonstige;Automatik;Front;Diesel;True;False;50019 Sesto Fiorentino - Firenze;19450;[]
/angebote/fiat-tipo-5p-my20-1-6-mjt-120cv-lounge-euro-6d-temp-diesel-bronze-2f7bf526-91cf-4215-b30b-643fab80ea6c?;Italien;2021-02-17 21:47:58.842949;Tageszulassung;Fiat;Tipo;4601755;2021;Bronze;Metallic;Bronzo;Sonstige;Schaltgetriebe;;Diesel;True;False;50019 Sesto Fiorentino - Firenze;18550;[]
